rFactor	fee
873000000000000000	2439955718665621
874000000000000000	2442863331027393
875000000000000000	2445584829166171
876000000000000000	2448135026080110
877000000000000000	2450527370577717
878000000000000000	2452774084690655
879000000000000000	2454886286857725
880000000000000000	2456874102234916
881000000000000000	2458746761410946
882000000000000000	2460512688716840
883000000000000000	2462179581220555
884000000000000000	2463754479399244
885000000000000000	2465243830386146
886000000000000000	2466653544598628
887000000000000000	2467989046469653
888000000000000000	2469255319927676
889000000000000000	2470456949199640
890000000000000000	2471598155448246
891000000000000000	2472682829697681
892000000000000000	2473714562451013
893000000000000000	2474696670357034
894000000000000000	2475632220243971
895000000000000000	2476524050801653
896000000000000000	2477374792161981
897000000000000000	2478186883599450
898000000000000000	2478962589548623
899000000000000000	2479704014113478
900000000000000000	2480413114224120
901000000000000000	2481091711579168
902000000000000000	2481741503496947
903000000000000000	2482364072785164
904000000000000000	2482960896726876
905000000000000000	2483533355270013
906000000000000000	2484082738498410
907000000000000000	2484610253454021
908000000000000000	2485117030372664
909000000000000000	2485604128389147
910000000000000000	2486072540761810
911000000000000000	2486523199661416
912000000000000000	2486956980564715
913000000000000000	2487374706288953
914000000000000000	2487777150699956
915000000000000000	2488165042123167
916000000000000000	2488539066484150
917000000000000000	2488899870202445
918000000000000000	2489248062860391
919000000000000000	2489584219666417
920000000000000000	2489908883730483
921000000000000000	2490222568167652
922000000000000000	2490525758044301
923000000000000000	2490818912180137
924000000000000000	2491102464817941
925000000000000000	2491376827171929
926000000000000000	2491642388864581
927000000000000000	2491899519260945
928000000000000000	2492148568708611
929000000000000000	2492389869690813
930000000000000000	2492623737899499
931000000000000000	2492850473234581
932000000000000000	2493070360735071
933000000000000000	2493283671447300
934000000000000000	2493490663235012
935000000000000000	2493691581535675
936000000000000000	2493886660067038
937000000000000000	2494076121487603
938000000000000000	2494260178014390
939000000000000000	2494439032001101
940000000000000000	2494612876479529
941000000000000000	2494781895666846
942000000000000000	2494946265441192
943000000000000000	2495106153787781
944000000000000000	2495261721217594
945000000000000000	2495413121160539
946000000000000000	2495560500334852
947000000000000000	2495703999094335
948000000000000000	2495843751754937
949000000000000000	2495979886902070
950000000000000000	2496112527679921
951000000000000000	2496241792063971
952000000000000000	2496367793117798
953000000000000000	2496490639235204
954000000000000000	2496610434368602
955000000000000000	2496727278244537
956000000000000000	2496841266567172
957000000000000000	2496952491210492
958000000000000000	2497061040399919
959000000000000000	2497166998884018
960000000000000000	2497270448096888
961000000000000000	2497371466311811
962000000000000000	2497470128786698
963000000000000000	2497566507901818
964000000000000000	2497660673290272
965000000000000000	2497752691961655
966000000000000000	2497842628419291
967000000000000000	2497930544771429
968000000000000000	2498016500836755
969000000000000000	2498100554244531
970000000000000000	2498182760529695
971000000000000000	2498263173223182
972000000000000000	2498341843937762
973000000000000000	2498418822449625
974000000000000000	2498494156775969
975000000000000000	2498567893248800
976000000000000000	2498640076585160
977000000000000000	2498710749953976
978000000000000000	2498779955039712
979000000000000000	2498847732103000
980000000000000000	2498914120038417
981000000000000000	2498979156429540
982000000000000000	2499042877601458
983000000000000000	2499105318670834
984000000000000000	2499166513593682
985000000000000000	2499226495210952
986000000000000000	2499285295292053
